Unnamed: 0	Dataset_Ids	TF_name	Peak_start	Peak_end	Peak_center	Peak_number	Max_Fold_Enrichment	Max_Norm_Fold_Enrichment	Proximal_genes	Center_position_type
69	agaR inducible 1,agaR native 1	agaR	3277867.0	3280579.0	3278846.0	1	3626.5	1.0	agaR,kbaZ-agaV-agaW-agaA	intergenic
70	agaR inducible 1,agaR native 1	agaR	3280889.0	3282684.0	3281889.0	2	2987.05	0.907183	agaS-kbaY-agaB-agaC-agaD-agaI,kbaZ-agaV-agaW-agaA	intergenic
71	agaR inducible 1,agaR native 1	agaR	1636062.0	1636856.0	1636463.0	3	42.16	0.147574	pinQ,tfaQ-stfQ-nohQ	intergenic
72	agaR inducible 1,agaR native 1	agaR	580354.0	581179.0	580751.0	4	38.13	0.12025	nohD,ylcI	intergenic
73	agaR inducible 1,agaR native 1	agaR	3098610.0	3099482.0	3099086.0	5	37.96	0.058667	rdgB-yggW,yggM	genic
74	agaR inducible 1,agaR native 1	agaR	3151723.0	3152469.0	3152103.0	6	21.42	0.060511	metC,metC-yghB	intergenic
75	agaR inducible 1,agaR native 1	agaR	3767990.0	3768573.0	3768241.0	7	13.22	0.047362	yibG,yibS	genic
76	agaR inducible 1,agaR native 1	agaR	4326709.0	4326996.0	4326879.0	8	6.68	0.062009	crfC-yjcZ,yjdM	intergenic
77	allR native 1,allR native 2,allR native 3,allR native 4,allR native 5,allR native 6,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 12,allR native 13,allR native 14,allR native 15	allR	531850.0	534550.0	533893.0	1	915.98	1.0	allR,gcl-hyi-glxR-ybbW-allB-ybbY-glxK	intergenic
78	allR native 1,allR native 2,allR native 3,allR native 4,allR native 6,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 12,allR native 13,allR native 14	allR	531864.0	532890.0	532342.0	2	690.61	0.942303	allA,allS	intergenic
79	allR native 1,allR native 2,allR native 3,allR native 4,allR native 6,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	2095864.0	2096371.0	2096132.0	3	117.31	0.29335	hisB-hisH-hisA-hisF-hisI,wzzB	genic
80	allR native 1,allR native 2,allR native 3,allR native 4,allR native 6,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	1772302.0	1772918.0	1772641.0	4	115.23	0.196019	aroD,ydiN-ydiB-aroD	genic
81	allR native 1,allR native 2,allR native 3,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	101845.0	102498.0	102177.0	5	111.37	0.151965	ftsL-ftsI-murE-murF-mraY-murD-ftsW-murG-murC-ddlB-ftsQ-ftsA-ftsZ-lpxC,ftsQ	genic
82	allR native 1,allR native 2,allR native 3,allR native 4,allR native 6,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	3331248.0	3331873.0	3331558.0	6	86.6	0.270522	dacB,obgE	genic
83	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	1046932.0	1047593.0	1047271.0	7	84.52	0.115326	etk-etp-gfcE,gfcD-gfcC	genic
84	allR native 1,allR native 2,allR native 3,allR native 4,allR native 6,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13,allR native 14	allR	2766081.0	2766628.0	2766345.0	8	75.32	0.164022	rnlA,rnlB	genic
85	allR native 1,allR native 2,allR native 3,allR native 4,allR native 6,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	3672114.0	3672721.0	3672471.0	9	71.03	0.161871	yhjC-yhjD,yhjD	genic
86	allR native 1,allR native 2,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	2979905.0	2980526.0	2980218.0	10	67.22	0.091716	lysA,ygeA	genic
87	allR native 1,allR native 2,allR native 3,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	209352.0	209965.0	209659.0	11	65.8	0.089777	accA,ldcC	intergenic
88	allR native 1,allR native 2,allR in vitro 1x 2	allR	3192515.0	3193145.0	3192740.0	12	65.75	0.089709	ibsD,yqiJ-yqiK	genic
89	allR native 1,allR native 2,allR native 3,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	849859.0	850489.0	850188.0	13	64.03	0.108768	ompX-yliM,rhtA	intergenic
90	allR native 1,allR native 2,allR native 3,allR native 9,allR native 10,allR native 11	allR	4421563.0	4421918.0	4421738.0	14	58.99	0.091907	ulaA-ulaB-ulaC-ulaD-ulaE-ulaF,ulaD-ulaE	genic
91	allR native 1,allR native 2,allR native 3,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	3456055.0	3456627.0	3456337.0	15	57.53	0.089646	bfr-bfd,gspB-gspA	genic
92	allR native 1,allR native 2,allR native 3,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	1952192.0	1952640.0	1952427.0	16	57.32	0.10977	cmoA-cmoB,yecN-cmoA-cmoB	genic
93	allR native 1,allR native 2,allR native 3,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	579272.0	579926.0	579605.0	17	55.57	0.091585	ybcV,ybcW	intergenic
94	allR native 1,allR in vitro 1x 2	allR	3532337.0	3532923.0	3532650.0	18	54.65	0.07457	pck,yhgE	intergenic
95	allR native 1,allR native 2,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	3797621.0	3798326.0	3798002.0	19	54.25	0.074026	hldD-waaF-waaC-waaL,yibX	genic
96	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	559483.0	560112.0	559811.0	20	50.99	0.06957	sfmC-sfmD,sfmH-sfmF	genic
97	allR native 1,allR native 2,allR native 3,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	3852790.0	3853319.0	3853059.0	21	50.58	0.086046	ilvN-ilvB-ivbL,istR	intergenic
98	allR native 1,allR native 2,allR native 3,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	3501031.0	3501474.0	3501347.0	22	50.3	0.102916	frlA-frlB-frlD-yhfR-frlC,yhfR	genic
99	allR native 1,allR native 2,allR native 3,allR native 9	allR	3598886.0	3599216.0	3599042.0	23	46.23	0.07203	livJ,panM	genic
100	allR native 1,allR native 2,allR native 3,allR native 4,allR native 6,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	3661018.0	3661438.0	3661236.0	24	42.59	0.137766	gadW,mdtE-mdtF	genic
101	allR native 1,allR native 2,allR native 3	allR	426146.0	426470.0	426315.0	25	39.18	0.061055	tgt-yajC-secD,yajC-secD	genic
102	allR native 1,allR in vitro 1x 2	allR	3003434.0	3004027.0	3003753.0	26	36.35	0.0496	xdhA-xdhB-xdhC,ygeV	genic
103	allR native 1,allR native 2,allR native 3,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	2573019.0	2573398.0	2573214.0	27	35.71	0.108504	eutG-eutJ-eutE-eutN,eutM-eutD-eutT-eutQ-eutP-eutS	genic
104	allR native 1,allR native 2,allR native 3,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	236322.0	236635.0	236476.0	28	35.11	0.064428	aspV,dnaQ	genic
105	allR native 1,allR native 2	allR	40250.0	40590.0	40434.0	29	34.62	0.053935	caiC-caiB,caiE-caiD-caiC-caiB-caiA-caiT	genic
106	allR native 9,allR native 10,allR native 11	allR	4640149.0	4640346.0	4640246.0	30	33.4306	0.009611	creD,yjjY	genic
107	allR native 1,allR native 2,allR in vitro 1x 2	allR	3861318.0	3861886.0	3861578.0	31	33.28	0.045416	glvG-glvB-glvC,yidL	genic
108	allR native 1,allR native 2,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2,allR native 13	allR	721067.0	721542.0	721350.0	32	32.2	0.084673	kdpE,potE-speF-speFL	genic
109	allR native 1,allR native 2,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	4379446.0	4379987.0	4379725.0	33	31.99	0.043647	ampC,frdD-frdC-frdB-frdA	genic
110	allR native 1,allR native 2	allR	2517621.0	2518087.0	2517910.0	34	29.01	0.045203	alaX-alaW,yfeA	intergenic
111	allR native 1,allR native 2,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11	allR	1010810.0	1011118.0	1010977.0	35	28.12	0.068645	pqiA-pqiB-pqiC,rlmL-uup	genic
112	allR native 1,allR native 2,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	851788.0	852260.0	852002.0	36	27.19	0.055043	ompX,opgE	genic
113	allR native 1,allR native 2,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	3334694.0	3335144.0	3334928.0	37	27.19	0.057363	murA,sfsB	genic
114	allR native 1,allR native 2,allR native 4,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	3348215.0	3348664.0	3348438.0	38	26.99	0.04206	mtgA-elbB,yrbL	intergenic
115	allR native 1,allR native 2,allR native 3	allR	4255222.0	4255558.0	4255391.0	39	26.91	0.041932	dgkA-lexA,ubiC-ubiA	genic
116	allR native 1,allR native 2	allR	1887980.0	1888284.0	1888117.0	40	26.43	0.041178	fadD,rnd	genic
117	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	450625.0	450991.0	450819.0	41	24.03	0.037446	cyoE-cyoD-cyoC-cyoB	genic
118	allR native 1,allR native 2,allR in vitro 1x 2	allR	973267.0	973792.0	973582.0	42	23.76	0.032421	mukF-mukE,smtA-mukF-mukE	genic
119	allR native 1,allR native 9,allR in vitro 1x 2	allR	3070240.0	3070753.0	3070502.0	43	22.59	0.030822	fbaA-pgk,mscS	genic
120	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	4399604.0	4399953.0	4399765.0	44	21.25	0.033118	hfq-hflX-hflK,hfq-hflX-hflK-hflC	genic
121	allR native 1,allR native 2,allR native 3	allR	2749327.0	2749801.0	2749645.0	45	21.01	0.03504	nadK,yfjD	genic
122	allR native 1,allR native 2,allR in vitro 1x 2	allR	641896.0	642368.0	642131.0	46	20.65	0.032178	ybdR,yldA	genic
123	allR native 1,allR native 2,allR native 3,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	3782913.0	3783362.0	3783138.0	47	20.23	0.033906	cysE,gpsA-secB	genic
124	allR native 1,allR in vitro 1x 2	allR	3602262.0	3602733.0	3602505.0	48	19.17	0.026161	rpoH,rpoH-ftsX-ftsE	genic
125	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	3933919.0	3934322.0	3934075.0	49	18.97	0.029555	rbsB-rbsK-rbsR,rbsD-rbsA-rbsC-rbsB-rbsK-rbsR	genic
126	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11	allR	4426211.0	4426483.0	4426345.0	50	18.87	0.029397	rpsF-priB-rpsR-rplI,yjfZ	genic
127	allR native 1,allR native 2,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	108249.0	108522.0	108390.0	51	18.67	0.029094	secM-secA-mutT,yacG	genic
128	allR native 1,allR native 2	allR	2149443.0	2149689.0	2149575.0	52	18.59	0.028959	yegD,yegI	genic
129	allR native 1,allR native 2,allR native 9	allR	3126467.0	3126733.0	3126609.0	53	18.38	0.028632	glcA-glcB-glcG-glcD-glcF-glcE,glcB-glcG	genic
130	allR native 1,allR native 2,allR native 4,allR native 7,allR native 8,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	3614731.0	3615104.0	3614914.0	54	17.98	0.054516	nikA-nikB-nikC-nikD-nikE-nikR,nikR	genic
131	allR native 1,allR native 2	allR	889430.0	889676.0	889551.0	55	17.21	0.026821	rybB,ybjL	genic
132	allR native 1,allR native 2	allR	36371.0	36651.0	36513.0	56	17.0	0.026494	caiE-caiD-caiC,caiF	genic
133	allR native 1,allR native 2,allR in vitro 1x 2	allR	2518673.0	2519164.0	2518930.0	57	16.85	0.022997	gltX,yfeC-yfeD	genic
134	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	2441389.0	2441768.0	2441573.0	58	16.23	0.027607	yfcJ,yfcJ-fabB	genic
135	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	953450.0	953893.0	953748.0	59	16.19	0.026455	pflB	genic
136	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	2510039.0	2510437.0	2510244.0	60	16.19	0.025221	glk,ypeC	genic
137	allR native 1,allR native 2,allR in vitro 1x 2	allR	239226.0	239702.0	239465.0	61	16.13	0.02201	yafF,yafV	genic
138	allR native 1,allR native 2,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	2256737.0	2257204.0	2256950.0	62	16.11	0.022254	psuT,yeiL	genic
139	allR native 1,allR native 2	allR	2192725.0	2193127.0	2192965.0	63	15.86	0.024713	metG,yehE	intergenic
140	allR native 1,allR in vitro 1x 2	allR	3403238.0	3403828.0	3403446.0	64	15.38	0.02099	acuI,mreB-csrD	intergenic
141	allR native 1,allR native 2,allR in vitro 1x 2	allR	3271489.0	3271906.0	3271676.0	65	15.11	0.020616	garR,rnpB	genic
142	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11	allR	4068428.0	4068703.0	4068563.0	66	14.48	0.022558	yihO-yihP,yihQ	genic
143	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11	allR	189741.0	190042.0	189895.0	67	14.04	0.02188	rpsB-tsf-pyrH-frr,tsf	genic
144	allR native 1,allR native 2,allR native 7,allR native 9,allR native 10,allR native 11	allR	2733560.0	2733816.0	2733688.0	68	13.76	0.021442	clpB,rrfG-rrlG-gltW-rrsG	genic
145	allR native 2,allR in vitro 1x 2	allR	222273.0	222756.0	222382.0	69	13.6189	0.017403	metQ,rcsF-metQ-metI-metN	genic
146	allR native 7,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	785430.0	785921.0	785703.0	70	13.61	0.018575	aroG,gpmA	genic
147	allR native 1,allR native 2,allR in vitro 1x 2	allR	4557905.0	4558291.0	4558067.0	71	13.45	0.020957	iraD-idlP,yjiE	genic
148	allR native 1,allR native 2	allR	2316485.0	2316687.0	2316581.0	72	12.72	0.021326	rcsB,rcsC	genic
149	allR native 1,allR in vitro 1x 2	allR	3148934.0	3149375.0	3149117.0	73	12.67	0.017282	gpr,yqhA	genic
150	allR native 1,allR native 2,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	947741.0	948183.0	947926.0	74	12.66	0.021221	ycaM,ycaN	genic
151	allR native 1,allR in vitro 1x 2	allR	4334032.0	4334464.0	4334249.0	75	12.19	0.017873	basR,eptA	genic
152	allR native 1,allR native 2,allR native 9,allR native 10	allR	843258.0	843475.0	843370.0	76	11.88	0.019909	rlmF,ybiO	genic
153	allR native 1,allR native 9,allR in vitro 1x 2	allR	1194243.0	1194795.0	1194613.0	77	11.67	0.015921	hflD-mnmA-nudJ,purB-hflD-mnmA	genic
154	allR native 1,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	3540225.0	3540535.0	3540406.0	78	11.36	0.017698	feoA-feoB-feoC,yhgA	intergenic
155	allR native 1,allR native 2	allR	3267634.0	3267926.0	3267769.0	79	11.26	0.017552	tdcR,yhaB-yhaC	intergenic
156	allR native 1,allR native 2,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	2437442.0	2437712.0	2437555.0	80	11.23	0.017499	dedA-truA-usg,dedA-truA-usg-pdxB	genic
157	allR native 1,allR native 2,allR native 9,allR native 10,allR native 11,allR in vitro 1x 2	allR	1835008.0	1835395.0	1835194.0	81	11.01	0.017237	ydjX-ydjY-ydjZ-ynjA-ynjB-ynjC-ynjD,ynjA	genic
158	allR native 1,allR native 2	allR	1668473.0	1668717.0	1668580.0	82	10.13	0.015788	ynfK,ynfK-dgsA	intergenic
159	allR native 1,allR in vitro 1x 2	allR	81498.0	81908.0	81709.0	83	9.95	0.013574	leuB-leuA,setA	genic
160	allR native 1,allR native 2,allR in vitro 1x 2	allR	1806677.0	1806908.0	1806818.0	84	9.32	0.014526	pfkB-ydiZ-yniA,ydiZ	genic
161	allR native 1,allR native 2	allR	3716125.0	3716315.0	3716214.0	85	9.32	0.014515	bisC,tag-yiaC	genic
162	allR native 1,allR native 2,allR native 9,allR native 10,allR native 11	allR	2027710.0	2027950.0	2027827.0	86	9.14	0.014234	yedP,yedQ	genic
